,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39,type
2012-07-31,17513.0,412.0,940.0,775.0,62.0,837.0,232.0,682.0,894.0,593.0,351.0,573.0,643.0,595.0,1418.0,1241.0,1665.0,1057.0,1140.0,954.0,1013.0,653.0,783.0,Actual Values
2012-08-31,17684.0,384.0,946.0,691.0,49.0,945.0,245.0,697.0,934.0,668.0,351.0,590.0,694.0,521.0,1458.0,1062.0,1501.0,1055.0,1310.0,963.0,1115.0,734.0,771.0,Actual Values
2012-09-30,16843.0,379.0,958.0,682.0,49.0,795.0,207.0,705.0,859.0,570.0,349.0,595.0,673.0,565.0,1401.0,1200.0,1237.0,980.0,1166.0,905.0,1103.0,676.0,789.0,Actual Values
2012-10-31,16699.0,378.0,888.0,745.0,51.0,779.0,230.0,700.0,836.0,599.0,318.0,582.0,664.0,501.0,1399.0,1176.0,1289.0,1029.0,1255.0,877.0,1049.0,583.0,771.0,Actual Values
2012-11-30,14528.0,289.0,910.0,569.0,47.0,722.0,221.0,637.0,822.0,388.0,314.0,551.0,593.0,406.0,1169.0,965.0,1125.0,835.0,1034.0,749.0,904.0,576.0,702.0,Actual Values
2012-12-31,14384.0,303.0,913.0,599.0,67.0,682.0,216.0,617.0,822.0,465.0,294.0,484.0,516.0,407.0,1220.0,902.0,1137.0,782.0,1050.0,727.0,963.0,588.0,630.0,Actual Values
2013-01-31,14327.0,262.0,905.0,707.0,57.0,666.0,226.0,655.0,786.0,489.0,314.0,498.0,495.0,459.0,1149.0,834.0,1190.0,817.0,889.0,750.0,956.0,619.0,604.0,Actual Values
2013-02-28,12834.0,267.0,722.0,582.0,36.0,581.0,149.0,503.0,647.0,401.0,321.0,448.0,446.0,509.0,1012.0,802.0,1006.0,793.0,792.0,725.0,951.0,548.0,592.0,Actual Values
2013-03-31,15235.0,338.0,810.0,710.0,59.0,660.0,223.0,687.0,717.0,532.0,277.0,483.0,513.0,593.0,1116.0,997.0,1263.0,985.0,1073.0,916.0,1051.0,550.0,682.0,Actual Values
2013-04-30,15582.0,299.0,902.0,737.0,36.0,799.0,199.0,652.0,812.0,513.0,292.0,457.0,553.0,563.0,1209.0,1070.0,1247.0,873.0,1100.0,965.0,1018.0,573.0,713.0,Actual Values
2013-05-31,16951.0,323.0,1022.0,896.0,52.0,857.0,234.0,701.0,785.0,536.0,324.0,451.0,592.0,545.0,1260.0,996.0,1414.0,1137.0,1279.0,1069.0,1073.0,678.0,727.0,Actual Values
2013-06-30,16755.0,378.0,967.0,789.0,58.0,889.0,170.0,750.0,864.0,548.0,294.0,574.0,574.0,493.0,1282.0,988.0,1327.0,1121.0,1293.0,963.0,1047.0,610.0,776.0,Actual Values
2013-07-31,17178.0,348.0,1065.0,802.0,85.0,855.0,212.0,714.0,959.0,636.0,321.0,561.0,673.0,556.0,1458.0,1017.0,1261.0,1082.0,1191.0,913.0,1101.0,621.0,747.0,Actual Values
2013-08-31,17487.0,380.0,1029.0,870.0,63.0,821.0,267.0,728.0,940.0,633.0,315.0,541.0,638.0,508.0,1503.0,1055.0,1353.0,1069.0,1290.0,1005.0,1038.0,749.0,692.0,Actual Values
2013-09-30,15977.0,345.0,879.0,766.0,62.0,748.0,225.0,628.0,850.0,495.0,292.0,487.0,616.0,493.0,1320.0,1041.0,1153.0,1054.0,1293.0,899.0,1007.0,681.0,643.0,Actual Values
2013-10-31,16589.0,320.0,991.0,819.0,56.0,864.0,226.0,646.0,872.0,554.0,307.0,526.0,604.0,543.0,1251.0,1134.0,1269.0,1027.0,1203.0,926.0,1036.0,661.0,754.0,Actual Values
