dispatch_date,Vandalism/Criminal Mischief,DISTRICT_,Robbery Firearm,Thefts,Other Assaults,Theft from Vehicle,Fraud,Aggravated Assault No Firearm,Burglary Non-Residential,Forgery and Counterfeiting,Disorderly Conduct,Burglary Residential,All Other Offenses,Aggravated Assault Firearm,Robbery No Firearm,Narcotic / Drug Law Violations,Vagrancy/Loitering,Other Sex Offenses (Not Commercialized),Arson,Rape,Liquor Law Violations,Weapon Violations,Embezzlement,Public Drunkenness,Prostitution and Commercialized Vice,Receiving Stolen Property,Offenses Against Family and Children,Gambling Violations,DRIVING UNDER THE INFLUENCE,Recovered Stolen Motor Vehicle,Motor Vehicle Theft,Homicide - Criminal,Homicide - Criminal ,Homicide - Justifiable ,Homicide - Gross Negligence
2013-05-31,94,15,33.0,141,214,108,52,53.0,9.0,0.0,16.0,81.0,153,17.0,42.0,95.0,1.0,9.0,4.0,3.0,4.0,10.0,0.0,2.0,10.0,0.0,0.0,0.0,29.0,57,22.0,1.0,0.0,0.0,0.0
2013-06-30,110,15,12.0,125,164,111,69,44.0,12.0,1.0,13.0,84.0,279,7.0,28.0,64.0,0.0,7.0,1.0,4.0,13.0,10.0,1.0,0.0,17.0,0.0,1.0,0.0,12.0,69,23.0,0.0,1.0,0.0,0.0
2013-07-31,124,15,14.0,150,187,113,62,33.0,9.0,1.0,17.0,79.0,373,8.0,25.0,89.0,0.0,10.0,6.0,11.0,11.0,7.0,3.0,0.0,9.0,1.0,0.0,0.0,20.0,69,27.0,0.0,0.0,0.0,0.0
2013-08-31,125,15,20.0,173,192,164,76,43.0,10.0,2.0,15.0,73.0,320,14.0,33.0,86.0,0.0,7.0,4.0,7.0,3.0,9.0,1.0,0.0,18.0,1.0,0.0,0.0,27.0,59,21.0,0.0,0.0,0.0,0.0
2013-09-30,128,15,22.0,135,195,130,54,62.0,10.0,2.0,12.0,58.0,202,21.0,44.0,74.0,0.0,9.0,3.0,7.0,0.0,12.0,0.0,0.0,21.0,0.0,0.0,0.0,27.0,70,20.0,1.0,1.0,0.0,0.0
2013-10-31,95,15,21.0,128,190,126,74,44.0,6.0,0.0,17.0,64.0,158,19.0,33.0,96.0,0.0,9.0,3.0,12.0,6.0,12.0,1.0,0.0,8.0,0.0,1.0,0.0,35.0,71,18.0,2.0,2.0,0.0,0.0
2013-11-30,79,15,25.0,134,180,81,60,40.0,13.0,1.0,15.0,52.0,114,11.0,30.0,69.0,0.0,9.0,4.0,12.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,55,16.0,1.0,0.0,0.0,0.0
2013-12-31,112,15,25.0,115,140,99,46,36.0,15.0,3.0,15.0,67.0,115,9.0,20.0,51.0,0.0,19.0,3.0,9.0,1.0,7.0,3.0,0.0,2.0,1.0,2.0,0.0,25.0,53,14.0,0.0,0.0,0.0,0.0
2014-01-31,88,15,26.0,102,169,69,52,35.0,4.0,0.0,14.0,64.0,89,11.0,28.0,48.0,0.0,6.0,4.0,6.0,6.0,10.0,1.0,0.0,8.0,0.0,0.0,0.0,22.0,55,13.0,0.0,0.0,0.0,0.0
2014-02-28,75,15,9.0,97,159,59,57,35.0,7.0,0.0,6.0,43.0,108,9.0,33.0,54.0,0.0,6.0,4.0,7.0,3.0,10.0,2.0,0.0,4.0,0.0,0.0,0.0,17.0,62,8.0,1.0,2.0,0.0,0.0
